Transaction ID,Transaction Date Time,Transaction Amount,Payment Method,Account Number,Account Name
TXN0110,2024-09-09 14:05:37,3788.58,UPI,ACC9817021846,Account-345
TXN0111,2024-09-11 09:23:37,1705.58,Net Banking,ACC9952481455,Account-924
TXN0112,2024-09-05 05:28:37,2842.09,Debit Card,ACC3537974677,Account-848
TXN0113,2024-09-16 06:51:37,3061.16,Debit Card,ACC3817114086,Account-328
TXN0114,2024-09-21 21:28:37,2376.18,Net Banking,ACC4397977030,Account-544
TXN0115,2024-09-04 01:42:37,3823.0,Bank Transfer,ACC1168960017,Account-752
TXN0116,2024-09-23 03:40:37,3019.91,Bank Transfer,ACC9851798613,Account-797
TXN0117,2024-09-15 00:24:37,2012.52,Bank Transfer,ACC8839996628,Account-784
TXN0118,2024-09-13 12:32:37,2984.6,Debit Card,ACC3969488049,Account-538
TXN0119,2024-09-22 13:55:37,1936.16,Credit Card,ACC2493687312,Account-405
TXN0120,2024-09-23 09:26:37,4393.74,UPI,ACC3636490427,Account-769
TXN0121,2024-09-08 05:10:37,3194.6,Debit Card,ACC6913596801,Account-298
TXN0122,2024-09-29 05:22:37,1930.69,Bank Transfer,ACC4866844581,Account-142
TXN0123,2024-09-18 04:23:37,1086.44,Debit Card,ACC4740849969,Account-825
TXN0124,2024-09-03 16:19:37,1418.54,UPI,ACC5183681491,Account-976
TXN0125,2024-09-09 15:07:37,2582.67,Debit Card,ACC8771956608,Account-818
TXN0126,2024-09-04 14:16:37,1352.43,Debit Card,ACC2321291340,Account-566
TXN0127,2024-09-22 20:48:37,4863.24,Debit Card,ACC9692010206,Account-260
TXN0128,2024-09-13 22:26:37,4650.5,Bank Transfer,ACC8783801398,Account-684
TXN0129,2024-09-19 02:09:37,3172.39,Debit Card,ACC3091385756,Account-825
TXN0130,2024-09-26 17:28:37,3134.56,Debit Card,ACC2414620729,Account-251
TXN0131,2024-09-03 05:13:37,3515.19,Net Banking,ACC8407828793,Account-714
TXN0132,2024-09-21 22:24:37,3200.45,Credit Card,ACC8603712239,Account-726
TXN0133,2024-09-15 21:55:37,3449.55,Credit Card,ACC4230794385,Account-394
TXN0134,2024-10-01 20:24:37,2122.45,UPI,ACC4195350999,Account-718
TXN0135,2024-09-24 05:27:37,1783.05,Credit Card,ACC7209682221,Account-894
TXN0136,2024-09-18 03:12:37,2599.52,Credit Card,ACC5935975392,Account-360
TXN0137,2024-09-26 13:05:37,373.23,Credit Card,ACC9164929627,Account-525
TXN0138,2024-09-11 05:14:37,2900.59,Debit Card,ACC9808254338,Account-187
TXN0139,2024-09-12 01:24:37,2027.82,UPI,ACC2644436100,Account-885
TXN0140,2024-09-09 06:00:37,2415.17,Debit Card,ACC2449867044,Account-538
TXN0141,2024-10-01 13:52:37,1612.81,Credit Card,ACC3408810713,Account-531
TXN0142,2024-10-01 04:39:37,200.16,UPI,ACC6648724280,Account-367
TXN0143,2024-10-01 00:06:37,2256.21,Net Banking,ACC7912109529,Account-500
TXN0144,2024-09-11 20:45:37,4944.38,UPI,ACC7315624996,Account-937
TXN0145,2024-09-22 21:04:37,2853.93,Debit Card,ACC9528548507,Account-968
TXN0146,2024-09-15 19:51:37,1910.93,UPI,ACC1238134466,Account-956
TXN0147,2024-09-10 21:33:37,4113.86,UPI,ACC5229608388,Account-889
TXN0148,2024-09-30 14:08:37,270.15,Debit Card,ACC6745807169,Account-667
TXN0149,2024-09-03 03:50:37,2464.18,Bank Transfer,ACC3649819454,Account-913
TXN0150,2024-09-09 08:48:37,777.58,Bank Transfer,ACC9289627529,Account-168
TXN0151,2024-09-09 15:49:37,1782.03,Bank Transfer,ACC5633110695,Account-509
TXN0152,2024-09-25 03:17:37,625.02,Debit Card,ACC4156905662,Account-490
TXN0153,2024-09-13 14:10:37,1428.34,UPI,ACC1376225211,Account-555
TXN0154,2024-10-02 23:21:37,3100.01,Debit Card,ACC1000484091,Account-311
TXN0155,2024-09-02 13:01:37,2325.69,Bank Transfer,ACC1623602626,Account-721
TXN0156,2024-09-28 11:25:37,4437.72,Bank Transfer,ACC7161184881,Account-901
TXN0157,2024-09-22 05:40:37,1231.55,Net Banking,ACC9105541412,Account-363
TXN0158,2024-09-29 03:38:37,2437.33,Credit Card,ACC3445084406,Account-819
TXN0159,2024-09-07 21:25:37,4952.68,Debit Card,ACC4586192334,Account-476
TXN0160,2024-09-29 21:02:37,1550.87,Credit Card,ACC1018731434,Account-600
TXN0161,2024-10-02 14:29:37,3129.48,Net Banking,ACC2568070491,Account-320
TXN0162,2024-09-28 13:28:37,2419.28,Net Banking,ACC8736898868,Account-381
TXN0163,2024-09-06 12:28:37,2714.49,Bank Transfer,ACC9351544273,Account-374
TXN0164,2024-09-20 22:19:37,1613.85,Net Banking,ACC7440945527,Account-911
TXN0165,2024-09-29 00:40:37,4529.05,Credit Card,ACC2617653851,Account-907
TXN0166,2024-09-22 11:26:37,3315.43,Net Banking,ACC4930372666,Account-772
TXN0167,2024-09-25 21:57:37,2712.55,Net Banking,ACC7648728080,Account-924
TXN0168,2024-09-16 18:55:37,2573.15,Net Banking,ACC6678801960,Account-360
TXN0169,2024-09-19 13:00:37,526.75,UPI,ACC8426281135,Account-154
TXN0170,2024-09-07 03:43:37,4253.73,Credit Card,ACC5927405401,Account-168
TXN0171,2024-09-07 17:18:37,1467.24,UPI,ACC8592185069,Account-120
TXN0172,2024-10-01 03:20:37,616.8,Debit Card,ACC7945272359,Account-972
TXN0173,2024-10-02 14:44:37,832.54,Debit Card,ACC7917166511,Account-265
TXN0174,2024-09-21 08:14:37,914.56,Net Banking,ACC9564070430,Account-232
TXN0175,2024-09-25 20:39:37,1658.27,Debit Card,ACC8362375357,Account-986
TXN0176,2024-10-02 20:17:37,2208.36,UPI,ACC1541894145,Account-686
TXN0177,2024-10-02 00:06:37,1775.58,Credit Card,ACC2613702677,Account-537
TXN0178,2024-09-28 14:26:37,1627.95,Debit Card,ACC5053027562,Account-295
TXN0179,2024-09-28 03:13:37,1260.5,Debit Card,ACC6119837648,Account-740
TXN0180,2024-09-17 03:18:37,303.51,Credit Card,ACC9987966179,Account-670
TXN0181,2024-09-14 22:28:37,462.43,Debit Card,ACC3368495587,Account-818
TXN0182,2024-09-27 09:08:37,4706.65,UPI,ACC2406218120,Account-480
TXN0183,2024-09-22 05:30:37,3646.95,Net Banking,ACC7204219803,Account-520
TXN0184,2024-09-29 00:28:37,605.82,Net Banking,ACC1371500276,Account-105
TXN0185,2024-09-12 11:19:37,3528.12,Debit Card,ACC1015861721,Account-735
TXN0186,2024-09-03 06:33:37,241.31,Bank Transfer,ACC8429288587,Account-604
TXN0187,2024-09-22 20:18:37,3287.7,Credit Card,ACC4130410958,Account-909
TXN0188,2024-09-04 11:31:37,1345.25,UPI,ACC1701442670,Account-120
TXN0189,2024-09-14 23:37:37,4643.18,Debit Card,ACC9635249777,Account-179
TXN0190,2024-09-17 02:10:37,2939.99,Credit Card,ACC9054930396,Account-309
TXN0191,2024-09-02 18:06:37,202.17,Credit Card,ACC6255176369,Account-427
TXN0192,2024-09-27 18:25:37,1106.44,Debit Card,ACC9602264106,Account-833
TXN0193,2024-09-06 11:35:37,446.3,Debit Card,ACC5504990234,Account-368
TXN0194,2024-10-01 09:20:37,3171.58,Credit Card,ACC2740416617,Account-968
TXN0195,2024-09-10 07:45:37,1560.31,Credit Card,ACC6769725758,Account-722
TXN0196,2024-09-24 03:33:37,1921.97,Net Banking,ACC5810461351,Account-476
TXN0197,2024-09-02 09:49:37,4004.13,Net Banking,ACC5011026425,Account-637
TXN0198,2024-09-13 11:51:37,2840.3,UPI,ACC2154579444,Account-396
TXN0199,2024-09-30 13:34:37,3332.94,Net Banking,ACC6635266500,Account-140
TXN0200,2024-09-24 04:25:37,1386.62,Credit Card,ACC2851353011,Account-834
TXN0201,2024-09-05 09:59:37,1572.75,Credit Card,ACC7392117027,Account-892
TXN0202,2024-09-16 23:03:37,2965.18,Credit Card,ACC5506610104,Account-410
TXN0203,2024-09-20 22:59:37,1106.75,Credit Card,ACC3162336671,Account-517
TXN0204,2024-09-18 20:18:37,4796.63,Net Banking,ACC9424406446,Account-583
TXN0205,2024-09-20 09:57:37,3578.99,Debit Card,ACC8527219142,Account-362
TXN0206,2024-09-11 21:05:37,3278.16,Credit Card,ACC9751207309,Account-671
TXN0207,2024-09-21 21:21:37,4356.44,Debit Card,ACC5976164746,Account-951
TXN0208,2024-09-18 14:42:37,1674.13,Bank Transfer,ACC8028822177,Account-664
TXN0209,2024-09-29 06:40:37,4575.98,Debit Card,ACC8425080510,Account-669
TXN0210,2024-09-30 17:08:37,1424.59,Debit Card,ACC8315664429,Account-147
TXN0211,2024-09-28 08:31:37,2173.39,Net Banking,ACC3576547143,Account-129
TXN0212,2024-09-30 10:38:37,4278.31,UPI,ACC7980263011,Account-679
TXN0213,2024-09-13 21:58:37,504.21,UPI,ACC5119256140,Account-699
TXN0214,2024-09-02 17:40:37,1079.16,UPI,ACC3995663775,Account-740
TXN0215,2024-09-04 22:31:37,2879.64,Credit Card,ACC1004266735,Account-877
TXN0216,2024-09-03 16:26:37,4794.22,Debit Card,ACC9635038716,Account-118
TXN0217,2024-09-08 04:09:37,3530.8,UPI,ACC2916048850,Account-866
TXN0218,2024-09-07 19:33:37,3457.7,UPI,ACC4889311936,Account-731
TXN0219,2024-09-14 08:56:37,998.45,Net Banking,ACC7353747535,Account-884
TXN0220,2024-09-14 22:19:37,2700.04,Net Banking,ACC7429837811,Account-428
TXN0221,2024-09-08 00:43:37,547.35,Credit Card,ACC4244496422,Account-327
TXN0222,2024-09-23 01:57:37,896.53,Bank Transfer,ACC8986886176,Account-748
TXN0223,2024-09-18 16:56:37,3281.0,Bank Transfer,ACC5815267256,Account-580
TXN0224,2024-09-25 21:43:37,3801.01,Net Banking,ACC3024534284,Account-741
TXN0225,2024-09-16 21:13:37,90.05,Credit Card,ACC3602394129,Account-273
TXN0226,2024-09-16 22:12:37,539.28,Debit Card,ACC9292549340,Account-430
TXN0227,2024-09-07 18:36:37,3947.83,Credit Card,ACC6475263314,Account-766
TXN0228,2024-09-30 19:00:37,750.47,Bank Transfer,ACC6840548704,Account-687
TXN0229,2024-09-16 20:58:37,1844.61,UPI,ACC8949295235,Account-630
TXN0230,2024-09-30 19:43:37,3513.84,UPI,ACC1605295184,Account-647
TXN0231,2024-09-19 06:35:37,2539.52,Net Banking,ACC5696149086,Account-287
TXN0232,2024-09-20 13:41:37,1468.37,Debit Card,ACC4056501494,Account-194
TXN0233,2024-09-24 11:19:37,830.13,Debit Card,ACC2425443417,Account-112
TXN0234,2024-09-04 03:18:37,1781.77,Bank Transfer,ACC7081212803,Account-598
TXN0235,2024-09-19 11:32:37,1588.2,Debit Card,ACC3128629457,Account-703
TXN0236,2024-09-19 14:46:37,1122.6,UPI,ACC2535057311,Account-733
TXN0237,2024-09-27 16:27:37,2365.78,UPI,ACC2018729999,Account-633
TXN0238,2024-09-12 03:22:37,4466.49,UPI,ACC9166093340,Account-874
TXN0239,2024-09-02 15:28:37,760.3,Debit Card,ACC3578970930,Account-750
TXN0240,2024-09-25 20:57:37,3310.33,UPI,ACC1259214640,Account-955
TXN0241,2024-09-07 21:05:37,4011.35,Credit Card,ACC1536147647,Account-869
TXN0242,2024-09-22 14:48:37,2466.53,UPI,ACC7934074584,Account-999
TXN0243,2024-09-06 17:43:37,4236.49,UPI,ACC3722246352,Account-488
TXN0244,2024-09-11 21:08:37,2412.41,Net Banking,ACC3926939317,Account-693
TXN0245,2024-09-26 22:50:37,4854.96,Debit Card,ACC8319071804,Account-841
TXN0246,2024-09-05 08:15:37,4486.85,UPI,ACC5598321249,Account-996
TXN0247,2024-09-14 19:37:37,3462.28,UPI,ACC1584984026,Account-600
TXN0248,2024-09-14 14:55:37,1424.79,Debit Card,ACC7103209408,Account-952
TXN0249,2024-09-20 16:09:37,3599.34,Debit Card,ACC1714452243,Account-811
TXN0250,2024-09-15 15:34:37,67.46,Credit Card,ACC9440395718,Account-241
TXN0251,2024-09-06 03:30:37,4517.9,UPI,ACC6918198966,Account-387
TXN0252,2024-09-20 15:53:37,3983.45,Credit Card,ACC9592974823,Account-936
TXN0253,2024-10-01 17:00:37,2457.26,Credit Card,ACC3385716144,Account-124
TXN0254,2024-09-12 23:36:37,1665.01,UPI,ACC9821922641,Account-429
TXN0255,2024-09-13 02:28:37,2574.73,Credit Card,ACC2049745940,Account-807
TXN0256,2024-09-10 21:33:37,4499.92,Debit Card,ACC4667618207,Account-268
TXN0257,2024-09-25 07:09:37,2631.68,Credit Card,ACC6617087140,Account-441
TXN0258,2024-09-28 09:31:37,4413.44,Net Banking,ACC8310753170,Account-698
TXN0259,2024-09-20 13:48:37,3874.16,Bank Transfer,ACC1718833401,Account-315
TXN0260,2024-09-04 20:59:37,2245.48,Debit Card,ACC5058146580,Account-433
TXN0261,2024-09-17 15:43:37,1384.55,Net Banking,ACC6008435248,Account-765
TXN0262,2024-09-05 07:07:37,3504.97,UPI,ACC8186872068,Account-552
TXN0263,2024-09-09 02:22:37,1512.06,Debit Card,ACC6480984673,Account-180
TXN0264,2024-09-18 12:49:37,2317.6,Bank Transfer,ACC9483110461,Account-148
TXN0265,2024-09-03 08:01:37,1937.04,UPI,ACC9737828130,Account-972
TXN0266,2024-09-12 14:41:37,108.47,Debit Card,ACC4041315119,Account-443
TXN0267,2024-09-16 10:22:37,3125.96,Debit Card,ACC7808173899,Account-313
TXN0268,2024-09-04 16:21:37,4721.16,UPI,ACC7374491727,Account-686
TXN0269,2024-09-07 16:10:37,4625.78,Net Banking,ACC3721858299,Account-682
TXN0270,2024-09-12 13:35:37,1239.24,Debit Card,ACC6759109647,Account-232
TXN0271,2024-09-16 14:12:37,3161.74,Credit Card,ACC3888829266,Account-664
TXN0272,2024-10-01 17:57:37,2741.82,UPI,ACC1242396537,Account-428
TXN0273,2024-09-04 15:34:37,3663.2,Bank Transfer,ACC9830192230,Account-882
TXN0274,2024-09-19 13:56:37,2243.61,Net Banking,ACC2379160163,Account-894
TXN0275,2024-09-25 11:59:37,3408.14,Bank Transfer,ACC1237748978,Account-413
TXN0276,2024-09-08 08:52:37,1312.8,Net Banking,ACC9877542677,Account-841
TXN0277,2024-09-16 04:01:37,568.15,UPI,ACC4970156667,Account-546
TXN0278,2024-09-29 02:16:37,4812.93,UPI,ACC8072638441,Account-407
TXN0279,2024-09-07 21:48:37,3269.31,Credit Card,ACC9431763026,Account-270
TXN0280,2024-09-20 19:15:37,610.04,Credit Card,ACC2954144421,Account-276
TXN0281,2024-09-14 23:53:37,3271.24,Credit Card,ACC3812740049,Account-821
TXN0282,2024-09-06 05:44:37,2451.52,Debit Card,ACC9533281474,Account-402
TXN0283,2024-09-22 23:49:37,3718.72,UPI,ACC4091958929,Account-750
TXN0284,2024-09-29 02:34:37,2150.39,Bank Transfer,ACC5027207402,Account-311
TXN0285,2024-09-06 07:37:37,3402.06,Bank Transfer,ACC6998986151,Account-520
TXN0286,2024-09-30 09:21:37,3259.88,Credit Card,ACC8188204335,Account-671
TXN0287,2024-10-01 15:01:37,1089.77,Credit Card,ACC3518594485,Account-733
TXN0288,2024-09-29 03:27:37,1913.52,UPI,ACC8207437389,Account-627
TXN0289,2024-09-14 21:08:37,1204.92,UPI,ACC7466892739,Account-245
TXN0290,2024-09-28 22:47:37,2093.47,UPI,ACC9383970393,Account-914
TXN0291,2024-09-26 18:23:37,697.42,Debit Card,ACC4116714127,Account-900
TXN0292,2024-09-09 18:36:37,2561.16,Bank Transfer,ACC4313043483,Account-972
TXN0293,2024-10-01 19:05:37,1934.56,UPI,ACC5025018241,Account-369
TXN0294,2024-09-19 23:00:37,1436.99,Net Banking,ACC9729770602,Account-657
TXN0295,2024-09-05 08:46:37,3274.71,Debit Card,ACC6977508259,Account-599
TXN0296,2024-09-29 05:00:37,884.17,Debit Card,ACC6775774395,Account-401
TXN0297,2024-09-26 02:50:37,3596.36,UPI,ACC3442746026,Account-875
TXN0298,2024-09-12 14:05:37,2723.95,Bank Transfer,ACC7284407161,Account-870
TXN0299,2024-09-25 08:26:37,233.84,UPI,ACC5844848147,Account-826
TXN0300,2024-09-21 22:00:37,2318.59,UPI,ACC9710465517,Account-730
TXN0301,2024-09-28 01:56:37,1857.48,Net Banking,ACC7335599385,Account-558
TXN0302,2024-09-18 15:44:37,3631.85,Bank Transfer,ACC8283888419,Account-971
TXN0303,2024-09-13 05:39:37,3889.72,Credit Card,ACC7563047740,Account-899
TXN0304,2024-09-18 22:41:37,2728.73,UPI,ACC5886115226,Account-118
TXN0305,2024-09-13 07:33:37,1653.72,UPI,ACC1120343863,Account-408
TXN0306,2024-09-24 23:54:37,2265.56,Bank Transfer,ACC8594462644,Account-842
TXN0307,2024-09-21 11:35:37,3000.84,UPI,ACC9927086113,Account-837
TXN0308,2024-09-25 05:23:37,1679.63,Debit Card,ACC1492838797,Account-874
TXN0309,2024-09-05 05:25:37,1671.18,Debit Card,ACC9404444887,Account-694
TXN0310,2024-09-14 20:29:37,1888.22,Net Banking,ACC6329149685,Account-481
TXN0311,2024-10-02 07:02:37,1436.02,Credit Card,ACC8955992104,Account-628
TXN0312,2024-09-11 19:50:37,3257.28,Net Banking,ACC5612283910,Account-685
TXN0313,2024-09-14 05:51:37,290.92,Net Banking,ACC3010240923,Account-253
TXN0314,2024-09-23 22:54:37,4288.42,Net Banking,ACC8145430932,Account-957
TXN0315,2024-09-22 06:20:37,2318.52,Credit Card,ACC6594163540,Account-266
TXN0316,2024-09-15 00:57:37,3043.07,Debit Card,ACC6044793268,Account-462
TXN0317,2024-09-04 18:46:37,2206.24,Bank Transfer,ACC2634647795,Account-399
TXN0318,2024-09-06 23:28:37,1193.21,Net Banking,ACC6052278054,Account-704
TXN0319,2024-09-04 22:21:37,4859.01,Debit Card,ACC3044453362,Account-757
TXN0320,2024-09-30 13:02:37,446.01,Credit Card,ACC3513736877,Account-190
TXN0321,2024-09-13 08:05:37,278.41,Net Banking,ACC5318195755,Account-113
TXN0322,2024-09-29 04:49:37,3567.2,UPI,ACC6106170459,Account-230
TXN0323,2024-09-21 11:29:37,4445.41,UPI,ACC5916047989,Account-860
TXN0324,2024-09-07 06:03:37,3324.47,Bank Transfer,ACC2670894403,Account-441
TXN0325,2024-09-16 09:15:37,1309.98,Bank Transfer,ACC4203431645,Account-705
TXN0326,2024-09-30 06:37:37,72.44,Debit Card,ACC4010618404,Account-382
